"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population:","Total Population: Male","Total Population: Female","Median Age:","Median Age: Male Population","Median Age: Female Population","Population 25 Years and Over","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Diploma","Population 25 Years and Over: Bachelor's Degree or Better","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Median Household Income (In 2018 Inflation Adjusted Dollars)","Gini Index","Families:","Families: Income Below Poverty Level","Families: Income Below Poverty Level: Married Couple Family: with Related Child Living  Bellow Poverty Level","Families: Income Below Poverty Level: Married Couple Family: No Related Children Under 18 Years","Families: Income Below Poverty Level: Male Householder, No Wife Present","Families: Income Below Poverty Level: Male Householder, No Wife Present: with Related Children Under 18 Years","Families: Income Below Poverty Level: Male Householder, No Wife Present: No Related Children Under 18 Years","Families: Income Below Poverty Level: Female Householder, No Husband Present","Families: Income Below Poverty Level: Female Householder, No Husband Present: with Related Children Under 18 Years","Families: Income Below Poverty Level: Female Householder, No Husband Present: No Related Children Under 18 Years","Families: Income At or Above Poverty Level"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01004_001,SE_A01004_002,SE_A01004_003,SE_B12001_001,SE_B12001_002,SE_B12001_003,SE_B12001_004,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14006_001,SE_A14028_001,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20598139,10071925,10526214,41.9,40.3,43.5,14686727,1769489,8633781,4283457,9876910,9253932,622978,53267,0.4868,4917841,521757,106629,106439,54281,38016,16265,254408,209740,44668,4396084
"13","04000US13","Georgia","Georgia","ga","040","00","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10297484,5012229,5285255,36.5,35.2,37.8,6786547,903914,3802517,2080116,5043919,4721065,322854,55679,0.4821,2501768,303827,62066,40710,30364,21483,8881,170687,144786,25901,2197941
"15","04000US15","Hawaii","Hawaii","hi","040","00","ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422029,713772,708257,38.9,37.4,40.4,988367,80696,586675,320996,709482,677446,32036,78084,0.4412,319069,21440,4690,4365,2413,1735,678,9972,8151,1821,297629
"16","04000US16","Idaho","Idaho","id","040","00","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687809,845564,842245,36.1,35.4,36.9,1089266,102691,693306,293269,806373,768701,37672,53089,0.4499,418688,40100,11039,8155,3753,2914,839,17153,15595,1558,378588
"17","04000US17","Illinois","Illinois","il","040","00","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12821497,6295915,6525582,37.9,36.6,39.2,8682343,964587,4759965,2957791,6663103,6225964,437139,63575,0.4816,3117333,292097,59202,39034,29784,21608,8176,164077,138520,25557,2825236
"18","04000US18","Indiana","Indiana","in","040","00","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6637426,3271068,3366358,37.6,36.4,38.9,4399815,502624,2757283,1139908,3345383,3164414,180969,54325,0.4501,1668393,165140,32938,21489,17712,13854,3858,93001,83160,9841,1503253
"19","04000US19","Iowa","Iowa","ia","040","00","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132499,1554481,1578018,38.1,36.9,39.3,2081373,166709,1327647,587017,1674697,1609481,65216,58580,0.4421,800510,58879,11702,9454,6622,5370,1252,31101,28178,2923,741631
"20","04000US20","Kansas","Kansas","ks","040","00","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2908776,1449413,1459363,36.5,35.3,37.9,1894675,175719,1095880,623076,1493698,1428660,65038,57422,0.4584,731657,59773,13269,9010,6875,5382,1493,30619,27153,3466,671884
"21","04000US21","Kentucky","Kentucky","ky","040","00","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4440204,2186715,2253489,38.7,37.3,40.1,3004004,429573,1864828,709603,2087800,1959442,128358,48392,0.4775,1135709,153631,33296,26263,17103,12833,4270,76969,65069,11900,982078
"22","04000US22","Louisiana","Louisiana","la","040","00","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4663616,2279968,2383648,36.6,35.4,37.9,3107941,471960,1898388,737593,2180965,2031115,149850,47942,0.4927,1113951,162291,23137,20779,17265,12080,5185,101110,86784,14326,951660
"23","04000US23","Maine","Maine","me","040","00","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332813,652299,680514,44.6,43.2,45.8,967897,74426,594192,299279,697391,665188,32203,55425,0.4527,347959,27641,4599,5589,4007,3294,713,13446,11917,1529,320318
"24","04000US24","Maryland","Maryland","md","040","00","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6003435,2910323,3093112,38.6,37,40.1,4114858,409757,2074536,1630565,3232422,3051333,181089,81868,0.452,1466554,93495,15315,12778,10440,7716,2724,54962,45939,9023,1373059
"25","04000US25","Massachusetts","Massachusetts","ma","040","00","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6830193,3313979,3516214,39.4,37.9,40.9,4748795,454360,2256733,2037702,3773721,3570257,203464,77378,0.4841,1651808,123099,18641,19125,11370,7832,3538,73963,63082,10881,1528709
"26","04000US26","Michigan","Michigan","mi","040","00","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9957488,4899118,5058370,39.7,38.2,41,6772215,641536,4193627,1937052,4919495,4598487,321008,54938,0.4664,2514380,260862,51307,36570,30878,23006,7872,142107,121050,21057,2253518
"27","04000US27","Minnesota","Minnesota","mn","040","00","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5527358,2751748,2775610,37.9,37,38.9,3731762,262401,2146579,1322782,3050676,2931458,119218,68411,0.4515,1395514,87339,18419,12934,9128,7242,1886,46858,42384,4474,1308175
"28","04000US28","Mississippi","Mississippi","ms","040","00","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2988762,1450379,1538383,37.2,35.6,38.6,1967314,316345,1221792,429177,1338573,1228537,110036,43567,0.4784,740268,118055,18389,14014,10408,7607,2801,75244,62438,12806,622213
"29","04000US29","Missouri","Missouri","mo","040","00","ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6090062,2988772,3101290,38.5,37.1,40,4124838,430529,2513226,1181083,3044052,2888094,155958,53560,0.4639,1540575,150945,29882,24159,17098,13164,3934,79806,69915,9891,1389630
"30","04000US30","Montana","Montana","mt","040","00","ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041732,524220,517512,39.8,38.7,40.9,714267,48608,442789,222870,529682,507249,22433,52559,0.4592,260229,22029,5142,4507,2678,2204,474,9702,8635,1067,238200
"31","04000US31","Nebraska","Nebraska","ne","040","00","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904760,949910,954850,36.4,35.4,37.4,1242463,110739,742508,389216,1030381,993836,36545,59116,0.4433,484034,37135,8147,5228,4146,3301,845,19614,17966,1648,446899
"32","04000US32","Nevada","Nevada","nv","040","00","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2922849,1467165,1455684,37.9,37.2,38.5,2001450,274163,1241939,485348,1472351,1370603,101748,57598,0.4568,683185,67071,14799,10919,8487,6236,2251,32866,28245,4621,616114
"33","04000US33","New Hampshire","New Hampshire","nh","040","00","ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343622,664983,678639,42.7,41.5,44,952115,67607,537083,347425,754409,724017,30392,74057,0.4384,348905,17119,2649,2909,2081,1716,365,9480,8469,1011,331786
"34","04000US34","New Jersey","New Jersey","nj","040","00","ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8881845,4335930,4545915,39.8,38.2,41.4,6129542,641113,3104373,2384056,4675686,4390602,285084,79363,0.481,2222368,169460,36076,25439,17160,12603,4557,90785,75843,14942,2052908
"35","04000US35","New Mexico","New Mexico","nm","040","00","ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2092434,1035850,1056584,37.5,36.1,39.1,1394280,205558,810526,378196,951105,882735,68370,48059,0.4788,492776,75205,17476,12061,9020,6754,2266,36648,31221,5427,417571
"36","04000US36","New York","New York","ny","040","00","ACSSF","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19618453,9519555,10098898,38.7,37.1,40.2,13606342,1839849,6878355,4888138,10047659,9445023,602636,65323,0.5137,4634204,507143,111988,74439,50186,34138,16048,270530,217215,53315,4127061
"37","04000US37","North Carolina","North Carolina","nc","040","00","ACSSF","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10155624,4944759,5210865,38.6,37.1,40.1,6881774,869866,3912702,2099206,4978432,4665822,312610,52413,0.4769,2573526,288096,58541,41096,32339,24100,8239,156120,133599,22521,2285430
"38","04000US38","North Dakota","North Dakota","nd","040","00","ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752201,386183,366018,35.1,34.1,36.4,490233,36794,309043,144396,412530,400841,11689,63473,0.4579,188288,12080,1769,2284,1732,1432,300,6295,5831,464,176208
"39","04000US39","Ohio","Ohio","oh","040","00","ACSSF","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11641879,5703967,5937912,39.3,37.8,40.8,7937085,786160,4945355,2205570,5892809,5549577,343232,54533,0.4653,2953760,307980,49538,38743,34496,26111,8385,185203,162139,23064,2645780
"40","04000US40","Oklahoma","Oklahoma","ok","040","00","ACSSF","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3918137,1941576,1976561,36.4,35.2,37.7,2574001,313788,1612143,648070,1860415,1761328,99087,51424,0.4672,975462,113258,25155,16172,12652,9841,2811,59279,52042,7237,862204
"41","04000US41","Oregon","Oregon","or","040","00","ACSSF","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4081943,2023021,2058922,39.2,38.2,40.3,2850693,274182,1638694,937817,2058128,1934643,123485,59393,0.461,1005869,92438,21759,15983,10230,7876,2354,44466,38063,6403,913431
"42","04000US42","Pennsylvania","Pennsylvania","pa","040","00","ACSSF","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12791181,6263189,6527992,40.7,39.1,42.4,8921363,874018,5302028,2745317,6531763,6151998,379765,59445,0.4706,3232070,280188,48885,42122,31991,24129,7862,157190,133500,23690,2951882
